a1444140000,46.515,46.56,46.22,46.33,2540921
1,46.8155,46.9199,46.38,46.515,3204577
2,47.02,47.175,46.804,46.81,3767314
3,46.89,47.04,46.7801,47.01,2494485
4,46.97,47,46.81,46.885,1857840
5,46.855,47.0699,46.805,46.97,2897110
6,46.75,46.92,46.71,46.85,8132910
24,46.995,47.35,46.905,47.1,3326261
25,46.28,47.06,46.26,47,4921511
26,46.385,46.41,45.95,46.28,3962825
27,46.328,46.45,46.21,46.38,1765106
28,46.43,46.47,46.26,46.33,1951591
29,46.64,46.72,46.38,46.44,3818927
30,46.78,46.8,46.59,46.64,5958179
48,46.98,47.01,46.55,46.56,3605126
49,46.7,46.9883,46.64,46.98,3464669
50,46.93,46.95,46.5,46.69,2482502
51,46.895,47,46.805,46.9,892879
52,46.94,47,46.825,46.89,1209216
53,47.19,47.25,46.83,46.945,5953917
54,47.45,47.515,47.195,47.1999,10335628
72,47.025,47.54,47.021,47.45,3114487
73,47.34,47.455,47.03,47.03,2941639
74,47.1,47.34,46.97,47.34,2929171
75,47.14,47.195,46.99,47.0923,1773209
76,47.06,47.18,46.92,47.14,1661924
77,47.2925,47.295,47.05,47.07,2137645
78,47.11,47.39,47.1,47.29,7473695
144,46.745,47,46.72,46.98,2561473
145,46.695,46.78,46.5,46.74,2417333
146,46.78,46.92,46.7,46.7,2340149
147,46.855,46.86,46.74,46.775,1321924
148,46.7701,46.86,46.755,46.855,1019090
149,46.93,47,46.77,46.78,1539226
150,47,47.07,46.92,46.94,7301064
168,46.84,46.85,46.56,46.56,2477380
169,47.065,47.09,46.7,46.84,2979675
170,47.01,47.085,46.93,47.07,1500032
171,46.901,47.1299,46.9,47,1457663
172,46.865,46.93,46.6995,46.9,1456807
173,46.996,47.04,46.81,46.87,2087465
174,46.89,47.02,46.795,46.99,5123715
192,47.06,47.1,46.53,46.65,1927848
193,46.77,47.055,46.68,47.05,2957720
194,46.87,46.92,46.72,46.77,2567055
195,47.02,47.04,46.71,46.8639,2128127
196,46.925,47.05,46.815,47.02,2022097
197,46.76,47,46.74,46.925,2517705
198,46.68,46.79,46.53,46.76,9471822
216,46.59,47.02,46.53,47.01,2363000
217,46.89,46.93,46.53,46.59,2237777
218,46.79,47.01,46.78,46.89,2761159
219,46.69,46.79,46.63,46.78,2657648
220,46.7,46.85,46.65,46.6851,2512967
221,46.75,46.87,46.695,46.695,3337857
222,47.01,47.03,46.75,46.75,10035761
240,47.07,47.3,46.897,47.02,4876153
241,47.265,47.33,47.01,47.065,2569928
242,47.235,47.38,47.12,47.27,2255057
243,47.1559,47.24,47.08,47.23,1441946
244,47.11,47.19,47.1,47.155,1061200
245,47.23,47.3368,47.04,47.115,2207101
246,47.51,47.54,47.22,47.23,9453984
